pc_code,pc_description,unit,country_name,quantity,perUnit,categoryName,categoryID,Value,year
H4,Ayush And Herbal Products,Kgs,U S A,57048,0.123346,Cosmetics,6,7036.642608,2012
H4,Ayush And Herbal Products,Kgs,Hong Kong,11746,0.135087,Cosmetics,6,1586.731902,2014
H4,Ayush And Herbal Products,Kgs,Bhutan,17541,0.137309,Cosmetics,6,2408.537169,2017
H4,Ayush And Herbal Products,Kgs,Thailand,45915,0.183322,Cosmetics,6,8417.22963,2014
H4,Ayush And Herbal Products,Kgs,Thailand,30175,0.286652,Cosmetics,6,8649.7241,2015
H4,Ayush And Herbal Products,Kgs,Hong Kong,108750,0.348669,Cosmetics,6,37917.75375,2015
H4,Ayush And Herbal Products,Kgs,U S A,58529,0.401344,Cosmetics,6,23490.26298,2018
H4,Ayush And Herbal Products,Kgs,U Arab Emts,119424,0.500063,Cosmetics,6,59719.52371,2018
H4,Ayush And Herbal Products,Kgs,U S A,147542,0.539003,Cosmetics,6,79525.58063,2017
H4,Ayush And Herbal Products,Kgs,New Zealand,79316,0.635971,Cosmetics,6,50442.67584,2020
H4,Ayush And Herbal Products,Kgs,U Arab Emts,76581,0.68021,Cosmetics,6,52091.16201,2015
H4,Ayush And Herbal Products,Kgs,Switzerland,190477,0.705047,Cosmetics,6,134295.2374,2017
H4,Ayush And Herbal Products,Kgs,Afghanistan,150090,1.086813,Cosmetics,6,163119.7632,2015
H4,Ayush And Herbal Products,Kgs,U Arab Emts,369533,1.120783,Cosmetics,6,414166.3043,2015
H4,Ayush And Herbal Products,Kgs,Myanmar,337762,1.125388,Cosmetics,6,380113.3017,2019
H4,Ayush And Herbal Products,Kgs,U S A,149994,1.156869,Cosmetics,6,173523.4088,2018
H4,Ayush And Herbal Products,Kgs,U Arab Emts,129320,1.161004,Cosmetics,6,150141.0373,2017
H4,Ayush And Herbal Products,Kgs,Brazil,501968,1.23426,Cosmetics,6,619559.0237,2017
H4,Ayush And Herbal Products,Kgs,Singapore,162238,1.515474,Cosmetics,6,245867.4708,2015
H4,Ayush And Herbal Products,Kgs,U Arab Emts,799229,2.083629,Cosmetics,6,1665296.722,2019
H4,Ayush And Herbal Products,Kgs,Sri Lanka ,407571,2.170625,Cosmetics,6,884683.8019,2013
H4,Ayush And Herbal Products,Kgs,Iraq,659654,2.350783,Cosmetics,6,1550703.409,2019
H4,Ayush And Herbal Products,Kgs,Thailand,949195,2.69771,Cosmetics,6,2560652.843,2014
H4,Ayush And Herbal Products,Kgs,South Africa,404744,2.977361,Cosmetics,6,1205069.001,2015
H4,Ayush And Herbal Products,Kgs,Denmark,448610,3.238718,Cosmetics,6,1452921.282,2018
H4,Ayush And Herbal Products,Kgs,Hong Kong,717599,3.62412,Cosmetics,6,2600664.888,2016
